192.168.0.103 - - [19/Aug/2017:01:44:21 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:45:19 +0300] "GET /index.html HTTP/1.1" 200 290 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:45:19 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:45:45 +0300] "GET /index.html HTTP/1.1" 200 287 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:45:45 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:46:08 +0300] "GET /index.html HTTP/1.1" 200 287 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:46:08 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:47:33 +0300] "GET /index.html HTTP/1.1" 200 590 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:47:33 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
::1 - - [19/Aug/2017:01:47:54 +0300] "GET / HTTP/1.1" 200 590 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
